[08:40:05] | Thong_Tu_200_2014_TT-BTC.pdf 🚀 Bắt đầu xử lý
[08:40:09] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 220/308...
[08:40:09] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 230/308...
[08:40:10] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 240/308...
[08:40:10] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 250/308...
[08:40:10] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 260/308...
[08:40:10] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 270/308...
[08:40:10] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 280/308...
[08:40:11] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 290/308...
[08:40:11] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 300/308...
[08:40:11] | Thong_Tu_200_2014_TT-BTC.pdf 📄 Đọc xong: 308 trang có text
[08:40:12] | Thong_Tu_200_2014_TT-BTC.pdf ✂️  Chia được 1248 chunks — bắt đầu embed...
[08:40:32] | Thong_Tu_200_2014_TT-BTC.pdf 📥 32/1248 chunks (2%)
[08:40:32] | Thong_Tu_200_2014_TT-BTC.pdf 📥 64/1248 chunks (5%)
[08:40:33] | Thong_Tu_200_2014_TT-BTC.pdf 📥 96/1248 chunks (7%)
[08:40:33] | Thong_Tu_200_2014_TT-BTC.pdf 📥 128/1248 chunks (10%)
[08:40:34] | Thong_Tu_200_2014_TT-BTC.pdf 📥 160/1248 chunks (12%)
[08:40:35] | Thong_Tu_200_2014_TT-BTC.pdf 📥 192/1248 chunks (15%)
[08:40:35] | Thong_Tu_200_2014_TT-BTC.pdf 📥 224/1248 chunks (17%)
[08:40:36] | Thong_Tu_200_2014_TT-BTC.pdf 📥 256/1248 chunks (20%)
[08:40:37] | Thong_Tu_200_2014_TT-BTC.pdf 📥 288/1248 chunks (23%)
[08:40:37] | Thong_Tu_200_2014_TT-BTC.pdf 📥 320/1248 chunks (25%)
[08:40:38] | Thong_Tu_200_2014_TT-BTC.pdf 📥 352/1248 chunks (28%)
[08:40:39] | Thong_Tu_200_2014_TT-BTC.pdf 📥 384/1248 chunks (30%)
[08:40:39] | Thong_Tu_200_2014_TT-BTC.pdf 📥 416/1248 chunks (33%)
[08:40:40] | Thong_Tu_200_2014_TT-BTC.pdf 📥 448/1248 chunks (35%)
[08:40:41] | Thong_Tu_200_2014_TT-BTC.pdf 📥 480/1248 chunks (38%)
[08:40:41] | Thong_Tu_200_2014_TT-BTC.pdf 📥 512/1248 chunks (41%)
[08:40:42] | Thong_Tu_200_2014_TT-BTC.pdf 📥 544/1248 chunks (43%)
[08:40:43] | Thong_Tu_200_2014_TT-BTC.pdf 📥 576/1248 chunks (46%)
[08:40:43] | Thong_Tu_200_2014_TT-BTC.pdf 📥 608/1248 chunks (48%)
[08:40:44] | Thong_Tu_200_2014_TT-BTC.pdf 📥 640/1248 chunks (51%)
[08:40:45] | Thong_Tu_200_2014_TT-BTC.pdf 📥 672/1248 chunks (53%)
[08:40:45] | Thong_Tu_200_2014_TT-BTC.pdf 📥 704/1248 chunks (56%)
[08:40:46] | Thong_Tu_200_2014_TT-BTC.pdf 📥 736/1248 chunks (58%)
[08:40:46] | Thong_Tu_200_2014_TT-BTC.pdf 📥 768/1248 chunks (61%)
[08:40:47] | Thong_Tu_200_2014_TT-BTC.pdf 📥 800/1248 chunks (64%)
[08:40:48] | Thong_Tu_200_2014_TT-BTC.pdf 📥 832/1248 chunks (66%)
[08:40:48] | Thong_Tu_200_2014_TT-BTC.pdf 📥 864/1248 chunks (69%)
[08:40:49] | Thong_Tu_200_2014_TT-BTC.pdf 📥 896/1248 chunks (71%)
[08:40:50] | Thong_Tu_200_2014_TT-BTC.pdf 📥 928/1248 chunks (74%)
[08:40:50] | Thong_Tu_200_2014_TT-BTC.pdf 📥 960/1248 chunks (76%)
[08:40:51] | Thong_Tu_200_2014_TT-BTC.pdf 📥 992/1248 chunks (79%)
[08:40:52] | Thong_Tu_200_2014_TT-BTC.pdf 📥 1024/1248 chunks (82%)
[08:40:52] | Thong_Tu_200_2014_TT-BTC.pdf 📥 1056/1248 chunks (84%)
[08:40:53] | Thong_Tu_200_2014_TT-BTC.pdf 📥 1088/1248 chunks (87%)
[08:40:54] | Thong_Tu_200_2014_TT-BTC.pdf 📥 1120/1248 chunks (89%)
[08:40:54] | Thong_Tu_200_2014_TT-BTC.pdf 📥 1152/1248 chunks (92%)
[08:40:55] | Thong_Tu_200_2014_TT-BTC.pdf 📥 1184/1248 chunks (94%)
[08:40:56] | Thong_Tu_200_2014_TT-BTC.pdf 📥 1216/1248 chunks (97%)
[08:40:56] | Thong_Tu_200_2014_TT-BTC.pdf 📥 1248/1248 chunks (100%)
[08:40:56] | Thong_Tu_200_2014_TT-BTC.pdf ✅ Hoàn tất — 1248 chunks
